brand	type	filename	url	source_note
dreame	raw/logos	dreame-wikimedia-logo.svg	https://commons.wikimedia.org/wiki/Special:Redirect/file/Logo%20of%20Dreame.svg	Raw candidate; Wikimedia logo candidate for Dreame; review source/quality later
dreame	raw/products	dreame-verge-product-ecosystem-page.html	https://www.theverge.com/report/914244/dreame-china-vacuums-hypercars-elon-musk	Raw candidate; trusted media Dreame product/ecosystem article page
dreame	raw/people	yu-hao-xinhua-portrait.png	https://www.news.cn/fortune/2023-05/06/1212174582_16833620764411n.png	Raw candidate; Xinhua Yu Hao portrait with Dreame logo background
dreame	raw/events	dreame-xinhua-founder-story.html	https://www.news.cn/fortune/2023-05/06/c_1212174582.htm	Raw candidate; Xinhua founder/company story and image source page
dreame	raw/evidence	dreame-wikipedia-company-page.html	https://en.wikipedia.org/wiki/Dreame_Technology	Raw candidate; trusted company profile/evidence page
roborock	raw/logos	roborock-wikimedia-logo.svg	https://commons.wikimedia.org/wiki/Special:Redirect/file/Roborock%20logo.svg	Raw candidate; Wikimedia Roborock logo candidate; review source/quality later
roborock	raw/products	roborock-saros-z70-official.png	https://us.roborock.com/cdn/shop/files/Saros_Z70_Silver_ID_Home.png?v=1757558477	Raw candidate; official Roborock Saros Z70 product image
roborock	raw/people	roborock-founder-newsroom-page.html	https://newsroom.roborock.com/au/aboutus	Raw candidate; official Roborock newsroom/about page with founder portrait candidate
roborock	raw/events	roborock-ces-2024-official-page.html	https://global.roborock.com/pages/ces-2024	Raw candidate; official Roborock CES 2024 event/booth page
roborock	raw/evidence	roborock-ces-2024-press-release-page.html	https://newsroom.roborock.com/au/2024-01-08-Roborock-Unveils-New-Fleet-Of-Smart-Home-Cleaning-Devices-at-2024-Consumer-Electronics-Show-With-Next-Generation-Robotic-Intelligence	Raw candidate; official Roborock CES 2024 press release evidence
dyson	raw/logos	dyson-official-logo.svg	https://www.dyson.com/etc.clientlibs/dyson/clientlibs/clientlib-main/resources/images/dyson-logo.svg	Raw candidate; official Dyson logo
dyson	raw/products	dyson-dc07-wikimedia-product.jpg	https://upload.wikimedia.org/wikipedia/commons/c/c0/Dyson.cleaner.dc07.arp.jpg	Raw candidate; trusted historical Dyson product photo from Wikimedia
dyson	raw/people	james-dyson-wikimedia-portrait.jpg	https://upload.wikimedia.org/wikipedia/commons/6/67/Sir_James_Dyson_CBE_FREng_FRS.jpg	Raw candidate; trusted James Dyson portrait candidate from Wikimedia
dyson	raw/events	james-dyson-wikipedia-page.html	https://en.wikipedia.org/wiki/James_Dyson	Raw candidate; trusted source page for James Dyson portrait/context
dyson	raw/evidence	dyson-company-wikipedia-page.html	https://en.wikipedia.org/wiki/Dyson_(company)	Raw candidate; trusted Dyson company/profile evidence page
irobot	raw/logos	irobot-media-kit-logo-black-print.jpg	https://media.irobot.com/image/THUMBiRobot_Logo_Black_Print1.jpg	Raw candidate; official iRobot Press Center media-kit logo
irobot	raw/products	irobot-roomba-max-705-media-kit-black.jpg	https://media.irobot.com/file.php/182895/Roomba_Max_705_Vac_AutoEmpty_Black_Photo_InSitu_75Days_DustCloud_4000x4000.jpg	Raw candidate; official iRobot Press Center Roomba Max 705 product photo
irobot	raw/people	colin-angle-business-insider-page.html	https://www.businessinsider.com/familiar-machines-unveils-ai-robot-for-emotional-support-roomba-2026-5	Raw candidate; trusted media Colin Angle page; portrait/source review later
irobot	raw/events	irobot-media-kit-home-robots-page.html	https://media.irobot.com/media-kits?cat=4	Raw candidate; official iRobot home robots media-kit page
irobot	raw/evidence	irobot-media-kit-logo-page.html	https://media.irobot.com/media-kits?item=17	Raw candidate; official iRobot logo media-kit evidence page
sharkninja	raw/logos	sharkninja-ir-logo-white.svg	https://s202.q4cdn.com/977000893/files/design/sharkninja-white-1.svg	Raw candidate; official SharkNinja IR group logo
sharkninja	raw/products	shark-powerdetect-cordless-official.png	https://assets.sharkninja.com/image/upload/v1768422157/storefront/Compare%20Charts/Cordless/IP1251_Hero_Logo.png	Raw candidate; official SharkNinja product image
sharkninja	raw/people	mark-barrocas-verge-portrait.png	https://platform.theverge.com/wp-content/uploads/sites/2/2025/07/DCD-Mark-Barrocas-SharkNinja.png?crop=16.684782608696%2C0%2C66.630434782609%2C100&quality=90&strip=all&w=2400	Raw candidate; The Verge / SharkNinja credited Mark Barrocas portrait
sharkninja	raw/events	sharkninja-verge-interview-page.html	https://www.theverge.com/decoder-podcast-with-nilay-patel/695613/sharkninja-ceo-mark-barrocas-interview-flexflame-grill-home-appliance	Raw candidate; trusted media SharkNinja CEO interview/event-like press page
sharkninja	raw/evidence	sharkninja-ir-overview-page.html	https://ir.sharkninja.com/overview/default.aspx	Raw candidate; official SharkNinja IR evidence page
